"country" "year" "gdp" "unem" "capmob" "trade"
"104" "Belgium" 1969  6.6000000  3.6000000 -1  78.447790
"105" "Belgium" 1970  6.4000000  2.9000000 -1  84.379250
"106" "Belgium" 1971  3.7000000  2.9000000 -1  86.759470
"107" "Belgium" 1972  5.3000000  3.4000000  0  86.106090
"108" "Belgium" 1973  5.9000000  3.6000000  0  85.156660
"109" "Belgium" 1974  4.1000000  4.0000000  0  94.414870
"110" "Belgium" 1975 -1.5000000  6.7000000  0 108.177400
"111" "Belgium" 1976  5.3000000  6.8000000  0  93.609210
"112" "Belgium" 1977  0.4000000  7.8000000  0  98.267460
"113" "Belgium" 1978  3.0000000  8.4000000  0 107.168100
"114" "Belgium" 1979  2.1000000  8.7000000  0 104.390400
"115" "Belgium" 1980  4.0000000  9.4000000  0 115.214600
"116" "Belgium" 1981 -1.5000000 10.0000000  0 121.389600
"117" "Belgium" 1982  1.5000000 11.7000000  0 130.571400
"118" "Belgium" 1983 -0.1000000 12.9000000  0 138.485700
"119" "Belgium" 1984  1.4000000 13.0000000  0 137.189600
"120" "Belgium" 1985  0.9000000 12.0000000  0 146.020200
"121" "Belgium" 1986  1.6000000 11.3000000  0 141.275500
"122" "Belgium" 1987  1.9000000 11.1000000  0 127.210200
"123" "Belgium" 1988  4.3000000 10.0000000  0 126.907600
"124" "Belgium" 1989  3.6000000  9.2664093  0 133.281122
"125" "Belgium" 1990  3.8000000  8.7341469  0 142.686084
"126" "France" 1966  5.2141824  0.7000000  0  24.302560
"127" "France" 1967  4.6882107  0.9000000  0  25.008780
"128" "France" 1968  4.3000000  1.2000000  0  24.850140
"129" "France" 1969  7.0000000  1.0000000 -1  25.402060
"130" "France" 1970  5.7000000  1.2000000 -1  27.829750
"131" "France" 1971  5.4000000  1.6000000 -1  31.511960
"132" "France" 1972  5.9000000  2.0000000 -1  32.185850
"133" "France" 1973  5.4000000  2.6000000 -1  32.615950
"134" "France" 1974  3.2000000  2.8000000 -1  34.760360
"135" "France" 1975  0.2000000  4.1000000 -1  43.205750
"136" "France" 1976  5.2000000  4.4000000 -1  37.326510
"137" "France" 1977  3.1000000  4.7000000 -1  40.429730
"138" "France" 1978  3.8000000  5.2000000 -1  41.568830
"139" "France" 1979  3.3000000  5.9000000 -1  40.255400
"140" "France" 1980  1.1000000  6.3000000 -1  42.541650
"141" "France" 1981  0.5000000  7.3000000 -1  44.891930
"142" "France" 1982  1.8000000  8.1000000 -1  46.895390
"143" "France" 1983  0.7000000  8.3000000 -1  46.224320
"144" "France" 1984  1.3000000  9.9000000 -1  45.693210
"145" "France" 1985  1.9000000 10.2000000 -1  47.646520
"146" "France" 1986  2.3000000 10.4000000 -1  47.210230
"147" "France" 1987  1.9000000 10.5000000 -1  41.627190
"148" "France" 1988  3.5000000  9.9000000 -1  41.465140
"149" "France" 1989  3.6000000  9.3791118 -1  42.861233
"150" "France" 1990  2.6000000  8.9709547 -1  49.667118
"151" "West Germany" 1966  2.9414163  0.7000000  0  37.894460
"152" "West Germany" 1967 -0.1188883  2.1000000  0  38.813670
"153" "West Germany" 1968  6.3000000  1.5000000  0  39.506420
"154" "West Germany" 1969  7.8000000  0.9000000  0  41.404140
"155" "West Germany" 1970  6.0000000  0.7000000  0  43.068930
"156" "West Germany" 1971  2.9000000  0.8000000  0  43.210420
"157" "West Germany" 1972  4.2000000  1.1000000  0  43.247700
"158" "West Germany" 1973  4.7000000  1.2000000  0  42.768340
"159" "West Germany" 1974  0.3000000  2.6000000  0  44.196360
"160" "West Germany" 1975 -1.6000000  4.7000000  0  52.194840
"161" "West Germany" 1976  5.4000000  4.6000000  0  49.916700
"162" "West Germany" 1977  3.0000000  4.5000000  0  52.594910
"163" "West Germany" 1978  2.9000000  4.3000000  0  52.035340
"164" "West Germany" 1979  4.2000000  3.8000000  0  50.733770
"165" "West Germany" 1980  1.4000000  3.8000000  0  53.401890
"166" "West Germany" 1981  0.2000000  5.5000000  0  57.204180
"167" "West Germany" 1982 -0.6000000  7.5000000  0  61.452470
"168" "West Germany" 1983  1.2000000  9.1000000  0  62.337530
"169" "West Germany" 1984  2.6000000  9.1000000  0  60.678390
"170" "West Germany" 1985  2.0000000  9.3000000  0  64.168710
"171" "West Germany" 1986  2.3000000  9.0000000  0  66.315470
"172" "West Germany" 1987  1.8000000  8.9000000  0  59.980890
"173" "West Germany" 1988  3.7000000  8.7000000  0  58.095540
"174" "West Germany" 1989  3.2000000  6.8437490  0  59.254416
"175" "West Germany" 1990  4.7000000  6.2089887  0  64.472380
"176" "Austria" 1966  5.6429989  1.7000000 -2  50.828180
"177" "Austria" 1967  3.0076867  1.8000000 -2  51.539860
"178" "Austria" 1968  4.5000000  2.0000000 -2  50.877130
"179" "Austria" 1969  6.3000000  1.8000000 -2  51.626360
"180" "Austria" 1970  7.1000000  1.4000000 -2  55.524040
"181" "Austria" 1971  5.1000000  1.2000000 -2  61.163130
"182" "Austria" 1972  6.2000000  1.0000000 -2  60.626280
"183" "Austria" 1973  4.9000000  1.0000000 -3  60.495470
"184" "Austria" 1974  3.9000000  1.1000000 -1  60.685230
"185" "Austria" 1975 -0.4000000  1.7000000 -1  66.363810
"186" "Austria" 1976  4.6000000  1.7000000 -1  63.066760
"187" "Austria" 1977  4.4000000  1.5000000 -1  66.726450
"188" "Austria" 1978  0.5000000  1.8000000 -1  67.233540
"189" "Austria" 1979  4.7000000  1.7000000 -1  66.624710
"190" "Austria" 1980  3.0000000  1.6000000 -1  71.776940
"191" "Austria" 1981 -0.1000000  2.1000000 -1  75.599920
"192" "Austria" 1982  1.2000000  3.1000000 -1  77.917160
"193" "Austria" 1983  2.1000000  3.8000000 -1  74.132980
"194" "Austria" 1984  2.0000000  3.8000000 -1  73.286230
"195" "Austria" 1985  2.5000000  3.6000000 -1  77.686450
"196" "Austria" 1986  1.1000000  3.1000000 -1  80.934370
"197" "Austria" 1987  1.9000000  3.8000000 -1  72.724470
"198" "Austria" 1988  4.2000000  3.6000000 -1  70.362770
"199" "Austria" 1989  3.7000000  3.1304348 -1  74.421892
"200" "Austria" 1990  4.9000000  3.2331254 -1  79.472929
"201" "Italy" 1966  5.9849301  5.9000000 -1  26.939980
"202" "Italy" 1967  7.1776258  5.4000000 -1  28.237120
"203" "Italy" 1968  6.5000000  5.7000000 -1  28.761100
"204" "Italy" 1969  6.1000000  5.7000000 -1  29.418730
"205" "Italy" 1970  5.3000000  5.4000000 -1  31.444620
"206" "Italy" 1971  1.6000000  5.4000000 -1  32.473000
"207" "Italy" 1972  3.2000000  6.4000000 -1  32.666760
"208" "Italy" 1973  7.0000000  6.4000000 -1  34.196790
"209" "Italy" 1974  4.1000000  5.4000000 -1  37.149280
"210" "Italy" 1975 -3.6000000  5.9000000 -2  46.893480
"211" "Italy" 1976  5.9000000  6.7000000 -1  43.181410
"212" "Italy" 1977  1.9000000  7.2000000 -2  48.341280
"213" "Italy" 1978  2.7000000  7.2000000 -1  48.478820
"214" "Italy" 1979  4.9000000  7.7000000 -1  47.990130
"215" "Italy" 1980  3.9000000  7.6000000 -1  51.303110
"216" "Italy" 1981  0.2000000  8.4000000 -1  50.451220
"217" "Italy" 1982 -0.5000000  9.1000000 -2  46.008000
"218" "Italy" 1983 -0.2000000  9.9000000 -1  44.531230
"219" "Italy" 1984  2.8000000 10.1000000  0  41.135250
"220" "Italy" 1985  2.6000000 10.1000000  0  43.648930
"221" "Italy" 1986  2.5000000 11.1000000  0  43.849610
"222" "Italy" 1987  3.0000000 12.0000000 -1  37.016330
"223" "Italy" 1988  3.9000000 12.0000000 -1  36.825300
"224" "Italy" 1989  3.0000000 11.8115106 -1  38.838481
"225" "Italy" 1990  2.0000000 10.7891162 -1  38.649988
"226" "Finland" 1966  2.3721416  1.5000000 -3  42.164150
"227" "Finland" 1967  2.1688613  2.9000000 -3  41.395250
"228" "Finland" 1968  2.5000000  3.8000000 -2  40.356310
"229" "Finland" 1969  9.6000000  2.8000000 -2  43.750690
"230" "Finland" 1970  7.9000000  1.9000000 -2  47.382030
"231" "Finland" 1971  2.1000000  2.2000000 -2  52.598210
"232" "Finland" 1972  7.6000000  2.5000000 -2  50.480520
"233" "Finland" 1973  6.7000000  2.3000000 -3  50.746260
"234" "Finland" 1974  3.0000000  1.7000000 -3  51.496550
"235" "Finland" 1975  1.2000000  2.2000000 -3  58.730770
"236" "Finland" 1976  0.3000000  3.8000000 -4  53.379480
"237" "Finland" 1977  0.2000000  5.8000000 -3  52.090850
"238" "Finland" 1978  2.6000000  7.2000000 -3  55.153420
"239" "Finland" 1979  7.4000000  5.9000000 -3  55.953200
"240" "Finland" 1980  5.6000000  4.6000000 -3  61.350390
"241" "Finland" 1981  1.8000000  5.1000000 -3  66.681900
"242" "Finland" 1982  3.0000000  5.4000000 -3  65.716040
"243" "Finland" 1983  2.9000000  5.4000000 -3  61.491520
"244" "Finland" 1984  3.0000000  5.2000000 -3  60.646930
"245" "Finland" 1985  3.3000000  5.0000000 -2  58.252330
"246" "Finland" 1986  2.1000000  5.4000000 -2  57.317760
"247" "Finland" 1987  4.0000000  5.1000000 -3  51.937650
"248" "Finland" 1988  5.2000000  4.6000000 -3  50.276170
"249" "Finland" 1989  5.4000000  3.4456059 -3  49.786669
"250" "Finland" 1990  0.4000000  3.5541195 -3  48.981816
"251" "Sweden" 1966  2.0909698  1.4000000 -2  44.785570
"252" "Sweden" 1967  3.3656264  1.7000000 -2  43.728520
"253" "Sweden" 1968  3.6000000  2.0000000 -2  42.462370
"254" "Sweden" 1969  5.0000000  1.7000000 -2  43.517570
"255" "Sweden" 1970  6.5000000  1.4000000 -2  46.278390
"256" "Sweden" 1971  0.9000000  2.0000000 -2  48.773120
"257" "Sweden" 1972  2.3000000  2.0000000 -2  47.520330
"258" "Sweden" 1973  4.0000000  1.9000000 -2  46.864410
"259" "Sweden" 1974  3.2000000  1.5000000 -1  52.045470
"260" "Sweden" 1975  2.6000000  1.4000000 -1  65.178600
"261" "Sweden" 1976  1.1000000  1.2000000 -1  56.498820
"262" "Sweden" 1977 -1.6000000  1.2000000 -1  56.978750
"263" "Sweden" 1978  1.8000000  1.6000000 -1  56.440800
"264" "Sweden" 1979  3.8000000  1.5000000 -1  55.417620
"265" "Sweden" 1980  1.7000000  1.4000000 -1  61.813900
"266" "Sweden" 1981 -0.3000000  2.5000000 -1  61.519820
"267" "Sweden" 1982  0.8000000  3.1000000 -1  60.163330
"268" "Sweden" 1983  2.4000000  3.5000000 -1  64.760910
"269" "Sweden" 1984  3.4000000  3.1000000 -1  68.512100
"270" "Sweden" 1985  2.2000000  2.8000000 -1  68.255010
"271" "Sweden" 1986  2.3000000  2.6000000 -1  68.227530
"272" "Sweden" 1987  2.9000000  1.9000000 -1  62.787700
"273" "Sweden" 1988  2.3000000  1.6000000 -1  61.833540
"274" "Sweden" 1989  2.4000000  0.6847802 -1  63.454899
"275" "Sweden" 1990  0.6000000  1.5075377 -1  63.819325
"276" "Norway" 1966  3.7861464  0.8000000 -2  82.253820
"277" "Norway" 1967  6.2568582  0.8000000 -2  83.088980
"278" "Norway" 1968  2.3000000  1.1000000 -2  85.661640
"279" "Norway" 1969  6.4000000  1.0000000 -2  84.236610
"280" "Norway" 1970  6.7000000  0.8000000 -2  82.442590
"281" "Norway" 1971  4.6000000  0.8000000 -2  84.916990
"282" "Norway" 1972  5.2000000  1.7000000 -2  83.663450
"283" "Norway" 1973  4.1000000  1.5000000 -2  80.627620
"284" "Norway" 1974  5.2000000  1.5000000 -1  87.614210
"285" "Norway" 1975  4.2000000  2.3000000 -1  95.429700
"286" "Norway" 1976  6.8000000  1.8000000 -1  90.335020
"287" "Norway" 1977  3.6000000  1.5000000 -1  91.723340
"288" "Norway" 1978  4.5000000  1.7000000 -1  90.339050
"289" "Norway" 1979  5.1000000  2.0000000 -1  82.758040
"290" "Norway" 1980  4.2000000  1.7000000 -1  85.708650
"291" "Norway" 1981  0.9000000  2.0000000 -1  88.466420
"292" "Norway" 1982  0.3000000  2.6000000 -1  87.513800
"293" "Norway" 1983  3.9000000  3.3000000 -1  85.110590
"294" "Norway" 1984  3.8000000  3.1000000 -1  83.617690
"295" "Norway" 1985  5.3000000  2.6000000 -1  85.506930
"296" "Norway" 1986  4.2000000  2.0000000 -1  85.759970
"297" "Norway" 1987  3.4000000  2.1000000 -1  79.008410
"298" "Norway" 1988  1.1000000  3.2000000 -1  73.384620
"299" "Norway" 1989  0.4000000  4.9187935 -1  73.863705
"300" "Norway" 1990  1.8000000  5.2287582 -1  79.656174
"301" "Denmark" 1966  2.7412402  2.3000000 -3  62.286680
"302" "Denmark" 1967  3.4212094  2.7000000 -3  58.782370
"303" "Denmark" 1968  3.8000000  5.0000000 -2  56.866280
"304" "Denmark" 1969  6.5000000  3.9000000 -2  56.773130
"305" "Denmark" 1970  2.3000000  2.9000000 -2  57.007610
"306" "Denmark" 1971  2.7000000  3.7000000 -2  58.806170
"307" "Denmark" 1972  5.3000000  3.6000000 -2  57.031290
"308" "Denmark" 1973  3.6000000  2.4000000 -2  53.593220
"309" "Denmark" 1974 -0.9000000  5.2000000 -1  58.961340
"310" "Denmark" 1975 -0.7000000  6.0000000 -1  66.436670
"311" "Denmark" 1976  6.5000000  5.3000000 -1  61.098590
"312" "Denmark" 1977  1.6000000  6.4000000 -1  62.337290
"313" "Denmark" 1978  1.5000000  7.3000000 -1  61.265260
"314" "Denmark" 1979  3.5000000  6.1000000 -1  57.733870
"315" "Denmark" 1980 -0.4000000  6.9000000 -1  61.313030
"316" "Denmark" 1981 -0.9000000 10.3000000 -1  66.473860
"317" "Denmark" 1982  3.0000000 11.0000000 -1  72.363220
"318" "Denmark" 1983  2.1000000 11.4000000 -1  71.870470
"319" "Denmark" 1984  3.5000000  8.5000000 -1  70.324150
"320" "Denmark" 1985  4.3000000  7.3000000 -1  72.598330
"321" "Denmark" 1986  3.6000000  5.5000000 -1  72.948290
"322" "Denmark" 1987 -0.6000000  6.9000000 -1  64.367020
"323" "Denmark" 1988 -0.2000000  7.2000000 -1  61.448210
"324" "Denmark" 1989  0.8000000  8.1278222  0  62.473431
"325" "Denmark" 1990  1.7000000  8.3104396  0  61.443299
"326" "Japan" 1966 10.6382757  0.9000000 -2  20.641220
"327" "Japan" 1967 11.0823408  1.3000000 -2  20.594800
"328" "Japan" 1968 12.8000000  1.2000000 -2  20.055190
"329" "Japan" 1969 12.3000000  1.1000000 -2  20.082110
"330" "Japan" 1970  9.8000000  1.2000000 -2  20.598260
"331" "Japan" 1971  4.2000000  1.2000000 -1  21.508100
"332" "Japan" 1972  8.4000000  1.4000000 -1  21.953090
"333" "Japan" 1973  7.9000000  1.3000000 -1  20.166400
"334" "Japan" 1974 -1.2000000  1.4000000 -1  21.539250
"335" "Japan" 1975  2.6000000  1.9000000 -1  29.917490
"336" "Japan" 1976  4.8000000  2.0000000 -1  27.428520
"337" "Japan" 1977  5.3000000  2.0000000 -1  28.036610
"338" "Japan" 1978  5.1000000  2.2000000 -1  26.116080
"339" "Japan" 1979  5.2000000  2.1000000 -1  22.002180
"340" "Japan" 1980  4.4000000  2.0000000  0  26.316120
"341" "Japan" 1981  3.9000000  2.2000000  0  31.215320
"342" "Japan" 1982  2.8000000  2.4000000  0  32.518820
"343" "Japan" 1983  3.2000000  2.6000000  0  32.806080
"344" "Japan" 1984  5.0000000  2.7000000  0  29.735800
"345" "Japan" 1985  4.7000000  2.6000000  0  30.654100
"346" "Japan" 1986  2.5000000  2.8000000  0  29.161590
"347" "Japan" 1987  4.4000000  2.9000000  0  21.909870
"348" "Japan" 1988  5.7000000  2.5000000  0  21.712350
"349" "Japan" 1989  4.7000000  2.2647528  0  23.128797
"350" "Japan" 1990  5.2000000  2.0989975  0  20.000304
